client_id,client_type,city,join_date,trade_id,trade_date,segment,trade_amount,account_status
1,Retail,Chennai,2023-09-11,429,2023-04-13,Equity,107348.28,Inactive
1,Retail,Chennai,2023-09-11,3184,2023-02-15,Commodity,492364.00,Inactive
1,Retail,Chennai,2023-09-11,5149,2024-10-30,F&O,393740.99,Inactive
1,Retail,Chennai,2023-09-11,5305,2024-10-30,Equity,237467.55,Inactive
1,Retail,Chennai,2023-09-11,5582,2024-02-02,Currency,266187.01,Inactive
1,Retail,Chennai,2023-09-11,9002,2023-08-15,Equity,282748.44,Inactive
2,Institutional,Bangalore,2022-04-06,8476,2024-01-02,Equity,279148.42,Inactive
2,Institutional,Bangalore,2022-04-06,9835,2024-08-28,F&O,150879.55,Inactive
3,HNI,Chennai,2024-06-16,3331,2024-10-29,F&O,227013.50,Active
3,HNI,Chennai,2024-06-16,7176,2024-02-02,F&O,290793.64,Active
3,HNI,Chennai,2024-06-16,7782,2023-05-19,Equity,429821.44,Active
3,HNI,Chennai,2024-06-16,8803,2024-11-29,Equity,75044.30,Active
3,HNI,Chennai,2024-06-16,8873,2024-04-23,Currency,68179.48,Active
4,Retail,Pune,2024-12-21,10,2023-07-01,F&O,304423.08,Active
4,Retail,Pune,2024-12-21,4608,2024-08-24,Commodity,370423.91,Active
4,Retail,Pune,2024-12-21,8357,2023-11-01,Currency,484360.41,Active
5,Retail,Delhi,2023-07-15,6315,2023-11-06,F&O,100542.91,Active
6,Retail,Pune,2024-06-23,911,2023-11-30,Equity,375643.30,Active
6,Retail,Pune,2024-06-23,3938,2023-08-07,Equity,180040.13,Active
6,Retail,Pune,2024-06-23,8408,2024-04-16,Equity,22756.58,Active
7,Retail,Delhi,2022-12-14,993,2024-04-16,Equity,399358.25,Inactive
7,Retail,Delhi,2022-12-14,4260,2024-09-14,Equity,34156.47,Inactive
7,Retail,Delhi,2022-12-14,4806,2024-10-21,F&O,3235.26,Inactive
7,Retail,Delhi,2022-12-14,7078,2024-05-12,Commodity,221079.72,Inactive
8,HNI,Mumbai,2023-11-02,5441,2023-07-22,Commodity,278847.91,Active
8,HNI,Mumbai,2023-11-02,6325,2024-10-05,F&O,476067.92,Active
8,HNI,Mumbai,2023-11-02,8637,2024-11-28,Commodity,154213.92,Active
8,HNI,Mumbai,2023-11-02,9442,2023-10-15,Equity,460714.32,Active
8,HNI,Mumbai,2023-11-02,9471,2023-07-29,F&O,483620.91,Active
9,Retail,Hyderabad,2022-11-13,1116,2023-09-27,Equity,150368.89,Active
9,Retail,Hyderabad,2022-11-13,3552,2023-05-19,Equity,322403.25,Active
9,Retail,Hyderabad,2022-11-13,4656,2024-08-27,Equity,114848.71,Active
9,Retail,Hyderabad,2022-11-13,8927,2023-11-06,Equity,198496.19,Active
10,HNI,Pune,2023-12-20,767,2023-06-17,Equity,327833.19,Active
10,HNI,Pune,2023-12-20,3515,2024-01-13,Equity,413857.09,Active
10,HNI,Pune,2023-12-20,5847,2023-11-27,Equity,31452.83,Active
10,HNI,Pune,2023-12-20,8829,2023-11-17,Currency,320777.31,Active
11,Retail,Chennai,2024-12-07,2548,2024-03-08,F&O,73818.56,Active
11,Retail,Chennai,2024-12-07,3690,2024-02-23,Equity,343078.48,Active
11,Retail,Chennai,2024-12-07,6323,2024-04-06,Equity,332234.67,Active
11,Retail,Chennai,2024-12-07,7405,2024-11-15,Equity,70252.72,Active
11,Retail,Chennai,2024-12-07,7883,2024-11-23,Equity,45134.63,Active
12,Institutional,Mumbai,2022-09-07,2729,2023-08-31,Commodity,445151.50,Active
12,Institutional,Mumbai,2022-09-07,4164,2023-03-01,Equity,452228.89,Active
12,Institutional,Mumbai,2022-09-07,4528,2024-01-15,Equity,286637.11,Active
12,Institutional,Mumbai,2022-09-07,5550,2023-07-14,Equity,228031.87,Active
12,Institutional,Mumbai,2022-09-07,6404,2023-11-30,Currency,107493.80,Active
12,Institutional,Mumbai,2022-09-07,8428,2023-02-14,Currency,96851.40,Active
13,HNI,Hyderabad,2022-11-10,1571,2024-12-02,Equity,284201.15,Active
13,HNI,Hyderabad,2022-11-10,3553,2024-01-09,Currency,89854.65,Active
13,HNI,Hyderabad,2022-11-10,3854,2024-03-05,F&O,272193.99,Active
13,HNI,Hyderabad,2022-11-10,6906,2023-12-09,Equity,328632.05,Active
13,HNI,Hyderabad,2022-11-10,7278,2024-09-06,Equity,458873.81,Active
13,HNI,Hyderabad,2022-11-10,7912,2023-07-04,Commodity,199975.91,Active
13,HNI,Hyderabad,2022-11-10,8313,2024-07-17,F&O,212320.32,Active
13,HNI,Hyderabad,2022-11-10,8783,2024-09-29,Equity,466045.07,Active
14,Retail,Chennai,2024-03-17,326,2023-12-14,Equity,485676.16,Active
14,Retail,Chennai,2024-03-17,868,2023-04-21,F&O,206674.35,Active
14,Retail,Chennai,2024-03-17,3060,2023-05-14,Currency,11894.11,Active
14,Retail,Chennai,2024-03-17,3632,2023-12-15,Equity,174672.49,Active
14,Retail,Chennai,2024-03-17,6271,2024-07-16,F&O,78735.74,Active
14,Retail,Chennai,2024-03-17,7056,2023-06-09,Commodity,264325.01,Active
14,Retail,Chennai,2024-03-17,8795,2024-12-25,Equity,255505.07,Active
14,Retail,Chennai,2024-03-17,9389,2024-04-09,F&O,310570.59,Active
14,Retail,Chennai,2024-03-17,9538,2023-07-14,Equity,45028.42,Active
15,Retail,Bangalore,2023-04-30,6627,2024-08-01,Equity,407176.36,Active
15,Retail,Bangalore,2023-04-30,9239,2023-12-04,Commodity,408904.45,Active
15,Retail,Bangalore,2023-04-30,9344,2023-04-20,F&O,252262.78,Active
16,Retail,Chennai,2022-02-13,658,2023-12-07,F&O,313775.01,Active
16,Retail,Chennai,2022-02-13,961,2024-07-10,Equity,94471.99,Active
16,Retail,Chennai,2022-02-13,1603,2023-03-11,Currency,28324.93,Active
16,Retail,Chennai,2022-02-13,1717,2024-08-07,F&O,264868.51,Active
16,Retail,Chennai,2022-02-13,2587,2023-04-04,Currency,148201.48,Active
16,Retail,Chennai,2022-02-13,7210,2024-04-03,F&O,204001.26,Active
16,Retail,Chennai,2022-02-13,7564,2023-08-26,Commodity,431070.14,Active
16,Retail,Chennai,2022-02-13,7975,2023-01-09,F&O,478847.13,Active
16,Retail,Chennai,2022-02-13,8259,2023-05-23,F&O,59527.44,Active
16,Retail,Chennai,2022-02-13,8329,2023-02-23,Commodity,41302.33,Active
16,Retail,Chennai,2022-02-13,8362,2024-11-08,F&O,381894.88,Active
16,Retail,Chennai,2022-02-13,8398,2024-01-12,Currency,388802.69,Active
16,Retail,Chennai,2022-02-13,9905,2024-11-20,Equity,20555.51,Active
17,Retail,Delhi,2023-07-25,450,2024-09-27,Equity,189164.50,Active
17,Retail,Delhi,2023-07-25,1688,2024-06-23,Currency,389657.95,Active
17,Retail,Delhi,2023-07-25,4192,2023-07-24,Equity,334239.47,Active
18,Retail,Delhi,2023-08-06,1331,2024-10-09,Commodity,299048.21,Inactive
18,Retail,Delhi,2023-08-06,5097,2023-04-08,Equity,457624.12,Inactive
18,Retail,Delhi,2023-08-06,5873,2023-09-07,Equity,29333.59,Inactive
19,Retail,Bangalore,2024-06-13,153,2024-12-22,Currency,32661.33,Active
19,Retail,Bangalore,2024-06-13,248,2023-07-17,Equity,51602.66,Active
19,Retail,Bangalore,2024-06-13,3326,2023-03-30,Commodity,490069.45,Active
19,Retail,Bangalore,2024-06-13,4926,2024-02-18,Equity,317994.31,Active
19,Retail,Bangalore,2024-06-13,5700,2023-01-05,Equity,204734.77,Active
19,Retail,Bangalore,2024-06-13,5791,2024-10-08,Equity,426534.83,Active
20,Retail,Mumbai,2022-08-08,2353,2023-06-05,F&O,341785.96,Inactive
20,Retail,Mumbai,2022-08-08,3309,2024-10-30,Equity,405569.97,Inactive
20,Retail,Mumbai,2022-08-08,6807,2024-11-27,Equity,454677.98,Inactive
20,Retail,Mumbai,2022-08-08,7032,2023-07-12,Commodity,244035.11,Inactive
21,Retail,Hyderabad,2024-07-13,725,2024-07-23,Currency,96335.19,Active
21,Retail,Hyderabad,2024-07-13,1722,2024-11-20,Commodity,340957.99,Active
21,Retail,Hyderabad,2024-07-13,1869,2024-11-25,Equity,85727.71,Active
21,Retail,Hyderabad,2024-07-13,7238,2023-04-17,Currency,279591.58,Active
21,Retail,Hyderabad,2024-07-13,8763,2024-07-08,F&O,2084.72,Active
21,Retail,Hyderabad,2024-07-13,9434,2023-01-07,Currency,426941.54,Active
22,Retail,Chennai,2023-02-05,2241,2024-02-11,Equity,216366.11,Active
23,Retail,Delhi,2023-12-28,2451,2023-12-17,F&O,458995.70,Active
23,Retail,Delhi,2023-12-28,2756,2024-08-17,F&O,273590.64,Active
23,Retail,Delhi,2023-12-28,3255,2023-11-29,Equity,334282.85,Active
23,Retail,Delhi,2023-12-28,4305,2023-01-05,Currency,293041.86,Active
23,Retail,Delhi,2023-12-28,9605,2023-01-12,Commodity,172518.64,Active
24,Retail,Mumbai,2024-09-17,2881,2024-07-07,Equity,79696.11,Inactive
24,Retail,Mumbai,2024-09-17,4963,2023-11-17,Commodity,324519.82,Inactive
24,Retail,Mumbai,2024-09-17,5084,2023-07-09,Currency,183301.47,Inactive
