trade_id,client_id,segment,trade_amount,trade_date
1,399,Equity,126982.18,2023-10-27
2,1797,Currency,140188.72,2024-10-03
3,221,Equity,474616.94,2024-03-01
4,1619,Commodity,180279.18,2023-06-10
5,182,F&O,2798.52,2024-02-05
6,307,F&O,391058.92,2024-01-13
7,522,Equity,349938.12,2023-09-14
8,1420,Commodity,65155.56,2024-05-08
9,1014,Equity,492467.22,2024-05-03
10,4,F&O,304423.08,2023-07-01
11,863,Equity,250888.97,2024-06-09
12,1938,Currency,191727.41,2023-04-10
13,848,Equity,449437.71,2023-12-24
14,804,Equity,122737.78,2023-08-19
15,1305,Equity,143598.68,2024-07-18
16,215,Equity,62082.99,2023-01-06
17,972,Equity,379800.43,2023-03-31
18,1634,F&O,298179.09,2023-03-05
19,1444,Currency,304924.02,2023-03-29
20,101,Commodity,110016.75,2023-02-02
21,963,F&O,325933.03,2023-03-13
22,1545,Equity,382963.77,2024-07-09
23,573,F&O,179586.38,2023-09-10
24,1333,Equity,400872.22,2023-04-17
25,658,Commodity,175046.5,2024-05-28
26,939,Equity,379311.09,2023-05-16
27,1955,Equity,17831.32,2024-09-20
28,1534,Equity,276031.14,2024-02-13
29,1087,Currency,484793.75,2023-05-01
30,1657,Equity,490641.06,2024-04-22
31,226,F&O,141594.54,2023-04-04
32,105,Equity,221258.15,2024-05-19
33,1998,Commodity,32425.98,2023-01-07
34,772,Currency,436797.31,2024-08-22
35,1885,Equity,284717.5,2024-11-24
36,1449,F&O,193165.24,2023-07-10
37,1279,Currency,57272.51,2024-04-01
38,429,F&O,473436.88,2024-12-20
39,434,F&O,265579.3,2024-01-21
40,1231,F&O,142181.04,2023-10-05
41,1052,F&O,175757.35,2024-03-23
42,682,Equity,136077.89,2023-02-21
43,1360,Commodity,301303.09,2024-02-09
44,588,Equity,465051.82,2024-01-31
45,1652,Equity,428490.21,2024-11-24
46,1093,Commodity,230730.06,2023-07-30
47,866,Equity,413423.18,2024-12-10
48,746,Equity,212129.64,2023-09-27
49,1537,F&O,126901.26,2024-06-28
50,1191,Currency,491724.14,2024-09-05
51,864,Currency,152639.9,2023-10-09
52,1754,Currency,162538.39,2024-02-02
53,1809,Currency,494856.74,2023-08-04
54,368,Equity,67829.82,2024-03-07
55,251,Equity,380506.46,2023-11-17
56,859,Commodity,467970.57,2024-09-30
57,856,Equity,256385.7,2024-05-07
58,1955,F&O,2258.36,2024-08-28
59,1710,F&O,188154.41,2024-08-08
60,1194,Equity,56672.93,2023-05-08
61,1782,Currency,208677.64,2023-03-15
62,1959,F&O,395223.35,2024-04-20
63,1114,F&O,219917.06,2024-03-27
64,561,Currency,216530.64,2024-04-06
65,1470,F&O,278837.95,2024-03-13
66,294,Equity,291263.6,2023-09-13
67,919,F&O,428291.86,2024-03-23
68,1174,Commodity,154869.36,2023-04-12
69,1156,Commodity,411013.96,2024-07-12
70,433,Commodity,283400.94,2024-11-07
71,59,Commodity,150964.25,2023-10-10
72,969,Equity,148267.9,2023-07-23
73,836,Currency,181207.62,2023-03-27
74,199,Currency,311723.93,2023-11-20
75,215,Equity,116175.05,2023-06-13
76,898,Equity,460246.45,2023-02-26
77,1585,Currency,287881.38,2023-07-25
78,472,Currency,460087.87,2024-03-04
79,1768,Currency,24155.77,2023-05-28
80,247,Currency,171963.07,2023-10-28
81,382,F&O,12381.02,2023-10-17
82,991,F&O,136853.66,2023-01-21
83,1263,F&O,431141.23,2023-05-17
84,927,Equity,19268.25,2024-01-04
85,1391,Commodity,218637.4,2024-06-05
86,1192,F&O,59665.97,2024-07-10
87,560,F&O,209003.49,2024-03-11
88,1075,F&O,419586.94,2023-01-30
89,1835,F&O,311912.45,2024-03-23
90,1634,Equity,368641.42,2023-08-13
91,1975,Equity,175202.95,2024-01-21
92,1752,Equity,472254.45,2024-11-19
93,689,Equity,354921.78,2024-08-30
